Tahun,Bulan,Hari,Kec_angin,T_max,T_min,Curah_hujan,Kelembapan,Tekanan_udara
2012,2,20,0.63,26.3,22.55,26.41,17.64,100.78
2012,2,21,0.45,28.2,22.2,1.0,17.58,100.66
2012,2,22,0.87,30.69,23.22,0.08,19.17,100.49
2012,2,23,0.7,30.79,23.66,27.99,19.29,100.5
2012,2,24,0.7,30.6,23.74,2.69,19.35,100.49
2012,2,25,0.61,31.73,23.83,0.88,19.23,100.41
2012,2,26,0.53,30.02,24.68,20.69,19.1,100.52
2012,2,27,0.54,30.63,23.91,2.35,18.25,100.59
2012,2,28,0.86,30.07,23.4,2.06,18.74,100.5
2012,2,29,1.05,30.08,23.33,1.43,18.98,100.5
2012,3,1,1.24,27.49,24.0,7.04,19.1,100.58
2012,3,2,0.66,29.8,23.29,4.52,18.62,100.56
2012,3,3,0.87,27.29,23.44,0.59,18.37,100.64
2012,3,4,0.8,28.94,23.15,14.12,17.52,100.68
2012,3,5,0.83,28.87,23.22,7.66,18.31,100.58
2012,3,6,0.55,29.69,23.3,1.52,17.82,100.53
2012,3,7,0.46,30.25,24.26,7.49,19.23,100.45
2012,3,8,0.62,27.1,24.03,1.16,18.55,100.54
2012,3,9,1.05,30.57,23.21,0.72,18.25,100.5
2012,3,10,0.74,28.2,23.8,0.74,18.8,100.57
2012,3,11,0.73,27.71,23.74,2.61,18.49,100.67
2012,3,12,1.17,28.25,23.33,14.53,18.8,100.84
2012,3,13,1.2,27.48,23.05,17.8,18.43,100.96
2012,3,14,1.43,27.24,22.55,3.24,17.52,100.97
2012,3,15,1.32,29.05,22.3,0.07,18.19,100.87
2012,3,16,1.36,29.76,22.44,0.01,18.13,100.87
2012,3,17,1.09,30.8,22.56,0.0,18.55,100.78
2012,3,18,0.98,29.19,23.9,0.0,19.17,100.91
